from_date,item_description,purshase_price,selling_price,quantity
19-Feb,PARVLONA PICANTE CHEESE,220,264.95,0.325
19-Feb,FARM-EMENTAL CHEESE,104,124.95,4.832
19-Feb,CHESTNUT,105,109.95,21.193
19-Feb,ROMY BATAREKH CHEESE,85,94.95,196.553
19-Feb,PACKET BOUKSOMAT EIN YMAMA LARGE,17.05,24.95,29
19-Feb,MERAI SMOKED LNCHON CHICKEN,115,141.95,0.61
19-Feb,MACARONA BALADY FISH,70,94.95,11.966
19-Feb,N.KAYSER SESAME,1.25,1.75,607
19-Feb,CABBAGE WHITE,7.25,11.95,100
19-Feb,A-MANDARIN MURKET,4.75,4.75,511.685
19-Feb,NABAT OAKLEAF LETTUCE GREEN,18.7,21.95,13
19-Feb,LEBANESE THYME,48.713,64.95,7.492
19-Feb,N.KAIZER PLAIN,1.05,1.5,803
19-Feb,PEPPER STEACK,136.68,166.95,0.935
19-Feb,GRIND CORIANDER,28.463,37.95,18.501
19-Feb,GOUDA LIGHT CHEESE,206,229.95,1.223
19-Feb,BAL BEEF SILVERSIDE,127.79,154.95,11.089
19-Feb,HALWANI OLIVE BF LNCHON,77.44,80,55.086
19-Feb,SLICE CLEAN SQUID DEFROSTED,57,79.95,98.436
19-Feb,ROSE MARY,41.213,54.95,2.328
19-Feb,BRAMILY CHEESE CAPSICUM,46,54.95,125.403
19-Feb,VIENNA BREAD 125GR,2.271,5.95,3
19-Feb,BAL BEEF RIBYEY,127.79,157.95,4.178
19-Feb,IRISH CHEDDAR CHEESE,96,100,154.744
19-Feb,NABAT BATAVIA LETTUCE GREEN,18.7,21.95,11
19-Feb,BEET SALAD,1.593,6.95,41
19-Feb,GRAPE RED CRIMSON,28.5,38.95,21.87
19-Feb,OLIVETTA CUC,25.525,35.95,10.772
19-Feb,ISIS POTATO FOAM 1KG,21.5,26.95,3
19-Feb,STRAWBERRY MOUSSE SMALL,7.75,14.95,45
19-Feb,FETA CHEESE WITH CHILI,30,35.95,0.699
19-Feb,LETTUCE BALADY,3.7,4.75,56
19-Feb,CIMIT BREAD 400GR,4.5,7.95,3
19-Feb,IM BEEF KNUCKLE,107,142.95,43.55
19-Feb,MUFFIN X 4,7.497,16.95,10
19-Feb,OXTAIL,101.19,119.95,0.85
19-Feb,KIRI CHEESE CHEDAR,37,43.95,70.304
19-Feb,PIZZA HOT DOG HALF COOK,14.48,24.95,39
19-Feb,HALWANI TRKEY ROAST SMOKED,149,171.95,11.338
19-Feb,CAKE POUND MIX FRUITS,15.707,29.95,8
19-Feb,A-PEAR CHINESE,45.35,53.95,1.094
19-Feb,SMOKED CHICKEN BREAST GRILL,130,150.95,0.373
19-Feb,BASTERMA WITH GARLIC,151,160,4.342
19-Feb,DRANGLES HOT PEPPER CHDAR,160,189.95,0.494
19-Feb,BIRELL 330ML,4.32,10,1
19-Feb,ABA ROASTED MACADAMIA ( CHEESE ),624.967,949.95,0.326
19-Feb,BAL LAMB NECK,129.72,153.95,1.489
19-Feb,COUNTRY BAGT 250GR,3.216,6.95,1
19-Feb,LEMON STUFFED CELERY,19.135,26.95,4.734
19-Feb,HEALTHY BREAD STICKS,13.2,19.95,5
19-Feb,A-GARLIC CHINESE,32,34.95,65.606
19-Feb,CHEAK PEAS,32.963,43.95,29.484
19-Feb,HALWANI PRESSED BEEF,193,219.95,10.264
19-Feb,SABEEL CHICKEN 950-1000,46.25,54.95,5
19-Feb,MOULED BOX DELUX 3KG,180,249.95,2
19-Feb,CHOCLATE PEANUTS,36.809,55.95,8.392
19-Feb,N.ORASS BREAD,2.4,3.25,55
19-Feb,MESH HOT PEPPER,23.51,39.95,0.171
19-Feb,"CHICKEN BONES     ",1.5,10.95,1.463
19-Feb,BAL BEEF NECK,115.19,139.95,37.672
19-Feb,YELLOW LENTILS SAMO,14.963,19.95,53.833
19-Feb,A-CAPSICUM GREEN,13.25,15.95,87.724
19-Feb,SPONGE KG,15.005,46.95,2.976
19-Feb,A- GREEN BEAN,20,16,45.508
19-Feb,A-APPLE GOLDEN IMPORT,18.75,20,581.306
19-Feb,SHAHD LIVER CHICKEN 500GR,25.75,30.95,90
19-Feb,SHAWRMA CHICKEN SAND.,22.62,28,2
19-Feb,HALWANI OLIVE CHCKEN LNCHON,83,94.95,1.633
19-Feb,CHEESE LOW SALT,26,30,87.664
19-Feb,BAL BEEF RIBS,127.19,147.95,1.605
19-Feb,BISCUITS 1KG,61.95,84.95,2
19-Feb,ETOILE HALWA MOLOD 85,373.947,490,2
19-Feb,TEA EVENING,1.75,6,7
19-Feb,ORASS BREAD X5,4.148,8.95,142
19-Feb,LHEMY BEEF LUNCHEON CAPSICUM,65,79.95,0.199
19-Feb,PASTRY CARNAVAL,7.31,14.95,239
19-Feb,HEALTHY CRACKERS,12.1,19.95,3
